ref_point ,RRLB  ,nbr_iterations_to_convergence ,total_cost          ,sensitivites_computation_times ,condensation_times ,solve_times
        1 ,True  ,                           76 ,1569.0700359073808  ,            67.14018395072536  ,61.85576476548847  ,0.7652572763157895
        1 ,False ,                          153 ,1961.4176201647072  ,            36.423502404705374 ,55.56566419165119  ,0.5323300718954248
        2 ,True  ,                           60 , 168.47278669639527 ,            64.2855962117513   ,58.91077518463135  ,0.7463789833333333
        2 ,False ,                         2501 , 360.16369404443697 ,            40.29470956215902  ,61.18804452324905  ,1.0801277660935626
        3 ,True  ,                           73 ,  40.34338188229302 ,            66.99893899159889  ,61.43530754193868  ,0.7601985342465754
        3 ,False ,                         2501 ,  85.34386058292421 ,            39.09496696697908  ,59.192188259888916 ,1.0655310823670532
