Scheme,HorizonSize,AverageSensitivitiesComputationTime,StdErrSensitivitiesComputationTime,AverageCondensationTime,StdErrCondensationTime,AverageSolvingTime,StdErrSolvingTime
reg,25,13.330266666666667,1.7567333333333333,20.86546666666667,2.3142,0.16299999999999998,0.05053333333333333
reg,50,27.448466666666665,3.9584666666666664,39.4632,5.571133333333333,0.3214666666666667,0.1452
reg,100,55.322266666666664,7.2068,75.59673333333333,8.685666666666666,0.7102,0.38866666666666666
reg,250,137.19033333333334,16.278466666666667,179.89333333333335,16.925266666666666,1.7004666666666668,0.9411333333333334
rrlb,25,24.654733333333336,5.771733333333333,23.4802,5.8034,0.24893333333333334,0.05286666666666666
rrlb,50,46.708600000000004,11.768400000000002,41.718133333333334,11.173933333333334,0.46773333333333333,0.14753333333333335
rrlb,100,105.8608,20.2058,91.0916,16.786066666666667,1.0508,0.48706666666666665
rrlb,250,227.89253333333332,26.3688,189.50166666666667,21.187,2.39,0.31320000000000003
